Username,Num_Projects,Total_Stars,Total_Forks,Unique_Languages,Avg_Readme_Size,Has_Portfolio_Site,Has_GitHub_Pages
octocat,8,21419,164783,5,1296.1666666666667,1,1
torvalds,11,245729,63497,38,6788.888888888889,0,0
